  3x  "브라함의 하나님 | 이삭의 하나님, 야곱의"
  2x  "얼룩무늬 있는것 | 점 있는 것, 아롱진"
  2x  "곧 가나안 족속 | 헷 족속, 아모리 족속"
  2x  ", 브리스 족속 | 히위 족속, 여부스 족"
  2x  "으로 이는 이로 | 손은 손으로 발은 발로"
  2x  "이 이 규빗 반 | 광이 일 규빗 반, 고"
  2x  "장이 이 규빗 | 광이 일 규빗, 고가"
  2x  "이십 팔 규빗 | 광은 사 규빗으로 각"
  2x  "자 | 엎드려서 눈을 뜬 자가"
  2x  "저 족속에게로 | 이 나라에서 다른 민족"
  2x  "광을 열방 중에 | 그 기이한 행적을 만민"
  1x  "을 그 종류대로 | 날개 있는 모든 새를"
  1x  "을 그 종류대로 | 육축을 그 종류대로,"
  1x  "장이 삼백 규빗 | 광이 오십 규빗, 고가"
  1x  "가 그 종류대로 | 육축이 그 종류대로,"
  1x  "이 그 종류대로 | 각기 둘씩 네게로 나아"
  1x  "그의 아들 셈 | 함, 야벳과 노아의 처"
  1x  "이 그 종류대로 | 모든 육축이 그 종류대"
  1x  "로 | 땅에 기는 모든 것이"
  1x  "그 종류대로 | 모든 새 곧 각양의 새"
  1x  "그 짐승에게서 | 사람이나 사람의 형제면"
  1x  "서로 말하되 자 | 벽돌을 만들어 견고히"
  1x  "또 말하되 자 | 성과 대를 쌓아 대 꼭"
  1x  "자 | 우리가 내려가서 거기서"
  1x  "약은 내가 명년 | 이 기한에 사라가 네게"
  1x  "하늘의 하나님 | 땅의 하나님이신 여호와"
  1x  "네 조상의 땅 | 네 족속에게로 돌아가라"
  1x  "위하여 십 사년 | 외삼촌의 양떼를 위하여"
  1x  "아버지의 하나님 | 아브라함의 하나님 곧"
  1x  "네가 이 무더기 | 이 기둥을 넘어 내게로"
  1x  "브라함의 하나님 | 나홀의 하나님, 그들의"
  1x  "브라함의 하나님 | 나의 아버지 이삭의 하"
  1x  "나님 | 여호와여 주께서 전에"
  1x  "에는 데만 족장 | 오말 족장, 스보 족장"
  1x  " | 그나스 족장과"
  1x  "장, 가담 족장 | 아말렉 족장이니 이들은"
  1x  "에는 나핫 족장 | 세라 족장, 삼마 족장"
  1x  " | 미사 족장이니 이들은"
  1x  "은 여우스 족장 | 얄람 족장, 고라 족장"
  1x  "곧 로단 족장 | 소발 족장, 시브온 족"
  1x  "장 | 아나 족장"
  1x  "장, 에셀 족장 | 디산 족장이라 이들은"
  1x  "하니 딤나 족장 | 알와 족장, 여뎃 족장"
  1x  "오홀리바마 족장 | 엘라 족장, 비논 족장"
  1x  "그나스 족장 | 데만 족장, 밉살 족장"
  1x  "막디엘 족장 | 이람 족장이라 이들은"
  1x  "자 | 그를 죽여 한 구덩이에"
  1x  "자 | 그를 이스마엘 사람에게"
  1x  "그 땅의 주 | 그 사람이 엄히 우리에"
  1x  "섬기던 하나님 | 나의 남으로부터 지금까"
  1x  "자 | 우리가 그들에게 대하여"
  1x  "개구리가 집에서 | 마당에서,밭에서 나와서"
  1x  "에는 구름 기둥 | 밤에는 불기둥이 백성"
  1x  "과 바로의 말들 | 병거들과 그 마병들이"
  1x  "이 이 규빗 반 | 광이 일 규빗 반이 되"
  1x  "그룹은 이 끝에 | 한 그룹은 저 끝에 곧"
  1x  "장은 삼십 규빗 | 광은 사 규빗으로 열"
  1x  "이편에 한 규빗 | 저편에 한 규빗씩 성막"
  1x  "장은 십 규빗 | 광은 일 규빗 반으로"
  1x  "래에도 두 받침 | 저 널판 아래에도 두"
  1x  "장이 오 규빗 | 광이 오 규빗의 단을"
  1x  "금방울 한 석류 | 한 금방울 한 석류가"
  1x  "장이 일 규빗 | 광이 일 규빗으로 네모"
  1x  "오십을 만들어 | 그 갈고리로 두 앙장을"
  1x  "장은 삼십 규빗 | 광은 사 규빗으로 십"
  1x  "오십을 만들어 | 그 앙장을 연합하여 한"
  1x  "장은 십 규빗 | 광은 일 규빗 반이며"
  1x  "이 이 규빗 반 | 광이 일 규빗 반이며"
  1x  "룹은 이편 끝에 | 한 그룹은 저편 끝에"
  1x  "으니 뜰문 이편 | 저편의 포장이 십 오"
  1x  "그 기둥이 셋씩 | 받침이 셋씩이라"
  1x  "의 장이 한 뼘 | 광이 한 뼘으로 네모"
  1x  "곤충의 사체들 | 무릇 부정한 것을 만졌"
  1x  "절반은 아침에 | 절반은 저녁에 드리되"
  1x  "하나는 번제물로 | 하나는 속죄 제물로 삼"
  1x  "는 속죄 제물로 | 하나는 번제물로 삼아"
  1x  "하나는 속죄제로 | 나는 소제와 함께 번제"
  1x  "하나는 속죄제로 | 하나는 번제로 드려 그"
  1x  "하나는 속죄제로 | 하나는 번제로 드려 유"
  1x  "의 안식일 외에 | 너희의 헌물 외에, 너"
  1x  "서원 예물외에 | 너희의 모든 낙헌 예물"
  1x  "요 여인은 아멘 | 아멘 할지니라"
  1x  "나를 속죄제물로 | 하나를 번제물로 드려서"
  1x  "하나를 번제물로 | 기름 섞은 고운 가루를"
  1x  "몰아 진곁 이편 | 저편 곧 진 사방으로"
  1x  "나를 아람에서 | 모압 왕이 동편 산에서"
  1x  "말씀을 듣는 자 | 전능자의 이상을 보는"
  1x  "지식을 아는 자 | 전능자의 이상을 보는"
  1x  "압을 이 편에서 | 저 편까지 파하고 또"
  1x  "므낫세의 현손 | 마길의 증손, 길르앗의"
  1x  "르라 나의 예물 | 나의 식물되는 화제,"
  1x  "바 십분지 삼에 | 기름 섞은 소제와 수양"
  1x  "바 십분지 일에 | 기름 섞은 소제를 향기"
  1x  "낙헌제외에 번제 | 소제, 전제, 화목제를"
  1x  "것, 노략한 것 | 사람과 짐승을 다 취하"
  1x  "으로 이천 규빗 | 남편으로 이천 규빗서"
  1x  "으로 이천 규빗 | 북편으로 이천 규빗을"
  1x  "고 밤에는 불로 | 낮에는 구름으로 너희의"
  1x  "위 불 가운데 | 구름 가운데, 흑암 가"
  1x  "운데서 | 큰 음성으로 너희 총회"
  1x  "희 땅에 이른비 | 늦은비를 적당한 때에"
  1x  "곧 돈의 이식 | 식물의 이식, 무릇 이"
  1x  "이같이 하는자 | 무릇 부정당히 행하는"
  1x  "땅 이 끝에서 | 저 끝까지 만민 중에"
  1x  "이르기를 아하 | 저녁이 되었으면 좋겠다"
  1x  "이르기를 아하 | 아침이 되었으면 좋겠다"
  1x  "그를 황무지에서 | 짐승의 부르짖는 광야에"
  1x  "알지 못하던 신 | 근래에 일어난 새 신,"
  1x  "기를 먹던 것들 | 전제의 술을 마시던 것"
  1x  "요셉의 머리에 | 그 형제 중 구별한 자"
  1x  "다의 풍부한 것 | 모래에 감추인 보배를"
  1x  "혹은 이 편에서 | 혹은 저 편에서 쳐 죽"
  1x  "그리심산 앞에 | 절반은 에발산 앞에 섰"
  1x  "아브라함의 아비 | 나홀의 아비 데라가 강"
  1x  "한 모든 길에서 | 우리의 지난 모든 백성"
  1x  "나귀를 탄 자들 | 귀한 화문석에 앉은 자"
  1x  "들 | 길에 행하는 자들아 선"
  1x  "면 미디안 사람 | 아말렉 사람, 동방 사"
  1x  "르되 나의 단것 | 나의 아름다운 실과를"
  1x  "아하 | 이 백성이 내 수하에"
  1x  "스라엘 한 지파 | 한 가족의 제사장이 되"
  1x  "중에서 백에 열 | 천에 백, 만에 천을"
  1x  "보라 벧엘 북편 | 르보나 남편 벧엘에서"
  1x  "각각 그 지파 | 그 가족에게로 돌아가되"
  1x  "집을 세운 라헬 | 레아 두 사람과 같게"
  1x  "가 낮 사흘 밤 | 사흘을 떡도 먹지 못하"
  1x  "은 자의 피에서 | 용사의 기름에서 요나단"
  1x  "를 왕이여 만세 | 왕이여 만세 하니"
  1x  "요압의 수하에 | 삼분지 일은 스루야의"
  1x  "하기를 내 아들 | 압살롬아 내 아들, 내"
  1x  "아들 | 압살롬아 내가 너를 대"
  1x  "부르되 내 아들 | 압살롬아 압살롬아 내"
  1x  "께서 내 의대로 | 그 목전에 내 깨끗한"
  1x  "높이 올리운 자 | 야곱의 하나님에게 기름"
  1x  "로 다스리는 자 | 하나님을 경외함으로 다"
  1x  "여 가로되 아멘 | 내 주 왕의 하나님 여"
  1x  "그룹은 한 척수 | 한 모양이요"
  1x  "내신 주의 백성 | 주의 산업이 됨이니이다"
  1x  "게 응답하옵소서 | 내게 응답하옵소서 이"
  1x  "고 말도 말대로 | 병거도 병거대로 충수하"
  1x  "아담, 셋 | 에노스"
  1x  "게난, 마할랄렐 | 야렛"
  1x  "에녹 | 므두셀라"
  1x  "라멕, 노아 셈 | 함과 야벳"
  1x  "셈, 아르박삿 | 셀라"
  1x  "에벨, 벨렉 | 르우"
